iter	Logloss
0	0.6923071768
1	0.6914802179
2	0.6906307711
3	0.6897610215
4	0.6889484947
5	0.6881012899
6	0.687335859
7	0.6865070989
8	0.6857654196
9	0.684985294
10	0.6841713197
11	0.6833446454
12	0.6825663475
13	0.6817618051
14	0.6810529496
15	0.6803358512
16	0.6796168695
17	0.6788609053
18	0.6781607922
19	0.6774553383
20	0.6767530119
21	0.6759570638
22	0.6753093623
23	0.6746551821
24	0.6739728802
25	0.6733418346
26	0.6726457386
27	0.6719807866
28	0.6712823141
29	0.6706297347
30	0.6699907909
31	0.6693271929
32	0.6686624074
33	0.6680496628
34	0.6674175803
35	0.6667905275
36	0.6661840708
37	0.6655531027
38	0.6649666953
39	0.6644334751
40	0.6638426797
41	0.6633009314
42	0.6627991064
43	0.6622520822
44	0.6616748667
45	0.6611061586
46	0.6605916895
47	0.6601649921
48	0.659619381
49	0.6590631262
50	0.6585682079
51	0.6580770374
52	0.6575277496
53	0.6570029493
54	0.6565179022
55	0.6560545918
56	0.655478184
57	0.6549347744
58	0.6544497547
59	0.653999382
60	0.6535680441
61	0.653093204
62	0.6526293677
63	0.6521543939
64	0.6516828521
65	0.6512499487
66	0.6507874208
67	0.6503869377
68	0.6499655937
69	0.6495403765
70	0.6492115768
71	0.6487856857
72	0.6483499939
73	0.6479535714
74	0.6475658769
75	0.6471854122
76	0.6467958855
77	0.6463873661
78	0.6459837468
79	0.6455602896
80	0.6451521695
81	0.6447869043
82	0.6444287276
83	0.6440434218
84	0.6436625205
85	0.6432737007
86	0.6429004059
87	0.6425657759
88	0.6422204334
89	0.641759984
90	0.6413900205
91	0.6409935992
92	0.6406473411
93	0.6403484966
94	0.6399954489
95	0.6396551059
96	0.6393468166
97	0.639025293
98	0.638704855
99	0.6383481444
100	0.6380710666
101	0.6377683278
102	0.6374835785
103	0.6371680346
104	0.6368622986
105	0.6365174319
106	0.636163199
107	0.6358473383
108	0.6355093753
109	0.6351935293
110	0.6348736347
111	0.6345388032
112	0.6342395132
113	0.6339812214
114	0.6336909425
115	0.6334127414
116	0.6331159941
117	0.632808563
118	0.6326258266
119	0.6323097592
120	0.6320086178
121	0.6317564755
122	0.6314793705
123	0.6312277956
124	0.6309564541
125	0.6306929219
126	0.6304329659
127	0.6301780822
128	0.6299180932
129	0.6296371452
130	0.6294070842
131	0.6291466687
132	0.6288824374
133	0.6286570373
134	0.6283780597
135	0.6280839247
136	0.6278569712
137	0.6276026166
138	0.6274049912
139	0.6271435402
140	0.6268763215
141	0.6266580068
142	0.6264125278
143	0.6261703929
144	0.6259095677
145	0.6256657665
146	0.6254285586
147	0.6252292147
148	0.6250150713
149	0.6248059602
150	0.624581323
151	0.6243767522
152	0.6241334705
153	0.6239597014
154	0.6237074371
155	0.6234246451
156	0.6232473031
157	0.6230704239
158	0.6228559654
159	0.6226192337
160	0.6224049991
161	0.6222436862
162	0.6220711051
163	0.6218661418
164	0.6216710442
165	0.621487871
166	0.6213192267
167	0.6211545201
168	0.6209252996
169	0.6207227033
170	0.6205319735
171	0.6203581468
172	0.6201702977
173	0.6199821849
174	0.6198209586
175	0.6195975828
176	0.619378027
177	0.6192090268
178	0.619054783
179	0.6188849259
180	0.6187037975
181	0.618508211
182	0.6183309321
183	0.6182006415
184	0.6180207611
185	0.6178083943
186	0.6176258758
187	0.6174297982
188	0.6172667469
189	0.6170960186
190	0.6169455985
191	0.6167879221
192	0.6166427215
193	0.6164615865
194	0.6162980436
195	0.6161391994
196	0.615963606
197	0.6157774835
198	0.6156290554
199	0.6155103387
200	0.615368779
201	0.6152069739
202	0.615056815
203	0.6149137476
204	0.614766221
205	0.6146218177
206	0.6144062881
207	0.6142678073
208	0.6141166451
209	0.6140045812
210	0.6138511795
211	0.6136420937
212	0.6134318945
213	0.6132979037
214	0.6131556345
215	0.6130171912
216	0.6129140649
217	0.6127536815
218	0.6125386207
219	0.6123953294
220	0.6122209067
221	0.6120689367
222	0.6119327544
223	0.611811525
224	0.6116716852
225	0.6115515096
226	0.6113966857
227	0.6112820102
228	0.6111713498
229	0.6110329759
230	0.6109296182
231	0.610774034
232	0.6106378052
233	0.6105296922
234	0.6103806051
235	0.6102037435
236	0.6100736795
237	0.6099297925
238	0.6098163304
239	0.6097138888
240	0.6095622123
241	0.6094201707
242	0.6093783627
243	0.6092791633
244	0.6091654968
245	0.6090193544
246	0.6088905813
247	0.6087575492
248	0.6086540129
249	0.608536637
250	0.6084522576
251	0.608352274
252	0.6082289196
253	0.6081493395
254	0.608047339
255	0.6079381529
256	0.607791888
257	0.6077095022
258	0.6075940573
259	0.6074946633
260	0.6073797895
261	0.6072503235
262	0.6071095501
263	0.607023133
264	0.6069063993
265	0.6067816384
266	0.6066308528
267	0.606544809
268	0.6064113563
269	0.6063298958
270	0.6062351228
271	0.6061157988
272	0.6060104983
273	0.6059038283
274	0.6057675305
275	0.6056520246
276	0.6055249162
277	0.6054138596
278	0.6053344203
279	0.6052263799
280	0.6051322196
281	0.6050364271
282	0.6049628836
283	0.6048663462
284	0.6047390439
285	0.6046212067
286	0.6045519644
287	0.6044379616
288	0.60431625
289	0.6042211186
290	0.6040643812
291	0.6039389184
292	0.603861438
293	0.6037965596
294	0.6036771009
295	0.6035720231
296	0.6035000145
297	0.6034152181
298	0.6033553502
299	0.6032713654
300	0.6031673684
301	0.6030779016
302	0.6029857464
303	0.6028807673
304	0.6028072116
305	0.6026903386
306	0.6025636711
307	0.60244033
308	0.6023797948
309	0.6022920761
310	0.6022277796
311	0.6021304732
312	0.6020189135
313	0.6019352494
314	0.6018352224
315	0.6017805748
316	0.6017093825
317	0.6016321865
318	0.6015697472
319	0.6014412338
320	0.6013783128
321	0.6012982478
322	0.601254781
323	0.601130436
324	0.6010322243
325	0.6009486369
326	0.600885674
327	0.6007487917
328	0.6006432485
329	0.6005592326
330	0.6005019521
331	0.6004321127
332	0.6003640353
333	0.6002831509
334	0.6001611052
335	0.600065219
336	0.599975575
337	0.5998959838
338	0.599803495
339	0.5997194076
340	0.5995907037
341	0.5994685786
342	0.5993704076
343	0.5993217012
344	0.5992478685
345	0.5991761647
346	0.5991006669
347	0.5990374515
348	0.5989492147
349	0.598883152
350	0.5988178845
351	0.5987323542
352	0.5986309061
353	0.5985432344
354	0.5984639126
355	0.5983939236
356	0.5983197333
357	0.5982495705
358	0.5981817124
359	0.5980270296
360	0.5979389939
361	0.5978198846
362	0.5977334006
363	0.5976391047
364	0.5975786084
365	0.5975101405
366	0.5974343858
367	0.5973299072
368	0.5972577331
369	0.597195923
370	0.5971384498
371	0.5970492329
372	0.5969884866
373	0.5968846809
374	0.5967807817
375	0.5966945319
376	0.5966408903
377	0.5965631131
378	0.5964784954
379	0.5963852674
380	0.5963192503
381	0.5961991494
382	0.5961339821
383	0.5960716028
384	0.5959921351
385	0.595941183
386	0.5958885749
387	0.5958059842
388	0.5957518829
389	0.5956875419
390	0.5956256618
391	0.5955485552
392	0.5955092925
393	0.5954374345
394	0.595321607
395	0.5952257861
396	0.5951505519
397	0.5950807523
398	0.5949929581
399	0.5949206536
400	0.5948512872
401	0.5947981331
