iter	Logloss
0	0.5947973039
1	0.513534474
2	0.4483320352
3	0.396733898
4	0.3557945933
5	0.3205532513
6	0.2925863518
7	0.2739299543
8	0.2553070446
9	0.2394564508
10	0.2256408808
11	0.2144677416
12	0.2049008173
13	0.1976863048
14	0.191259629
15	0.1848995478
16	0.1792192451
17	0.1753119197
18	0.1712410187
19	0.1677614086
20	0.1648735021
21	0.1621486418
22	0.1591612599
23	0.1569819258
24	0.1548342914
25	0.1531255103
26	0.1514566802
27	0.1496213163
28	0.1482082631
29	0.1471172994
30	0.1461624873
31	0.1451086798
32	0.1439296008
33	0.1428956392
34	0.1418741368
35	0.1409825633
36	0.140387939
37	0.139763591
38	0.1388504133
39	0.1382083744
40	0.1377014942
41	0.1368357398
42	0.1364061627
43	0.1358693105
44	0.1354941902
45	0.1351429287
46	0.134512572
47	0.133989234
48	0.133557399
49	0.1332208723
50	0.13291052
51	0.1325954515
52	0.1322132324
53	0.1319315056
54	0.1315946912
55	0.1312289707
56	0.1306790194
57	0.1301717639
58	0.129797623
59	0.1295334189
60	0.1292368219
61	0.1287990763
62	0.1285296536
63	0.128204582
64	0.1278958876
65	0.1275976312
66	0.1272645222
67	0.1270013747
68	0.1265963394
69	0.1263515151
70	0.126040705
71	0.1258080667
72	0.1254897111
73	0.125256262
74	0.1249698326
75	0.1246658841
76	0.124466271
77	0.1241648407
78	0.1239948252
79	0.123636893
80	0.123344187
81	0.1231226826
82	0.1228384751
83	0.1225344952
84	0.1222013712
85	0.1218789611
86	0.1216418889
87	0.1213757435
88	0.1211737708
89	0.1209764945
90	0.1208129847
91	0.1204951305
92	0.1202517445
93	0.1200373464
94	0.1197643672
95	0.1195544078
96	0.1192850642
97	0.1189580773
98	0.1186644434
99	0.1183965606
100	0.1181917586
101	0.1180690558
102	0.1179340678
103	0.1177001904
104	0.1173736195
105	0.1172633851
106	0.1170660607
107	0.1168776221
108	0.1167199063
109	0.1165161216
110	0.11613309
111	0.1159941527
112	0.1156602222
113	0.1153650988
114	0.115086629
115	0.1148845154
116	0.1146993458
117	0.1144429709
118	0.1142869965
119	0.1140751283
120	0.1137958854
121	0.1135130927
122	0.1133845765
123	0.1132036736
124	0.1130173786
125	0.1129361596
126	0.1127084419
127	0.1124503894
128	0.1123372483
129	0.1122607124
130	0.1121561861
131	0.1119148171
132	0.1116663456
133	0.1114888169
134	0.111239876
135	0.1111171943
136	0.1109679036
137	0.1107773331
138	0.1106432492
139	0.1105625348
140	0.1103155482
141	0.1099600439
142	0.1096574835
143	0.1093631364
144	0.1092152825
145	0.1090179403
146	0.1087972068
147	0.1086833418
148	0.1084211298
149	0.1081922016
150	0.1079632186
151	0.1076419348
152	0.1074872223
153	0.1072823624
154	0.1070846223
155	0.1069315767
156	0.1068200632
157	0.1067041697
158	0.1065830978
159	0.1064920721
160	0.106297812
161	0.1061315875
162	0.1057465751
163	0.1053891372
164	0.1051720434
165	0.1048450342
166	0.1045507499
167	0.1043716591
168	0.1041401209
169	0.1039574736
170	0.103647109
171	0.1034896437
172	0.1033174715
173	0.1031436451
174	0.1028911667
