iter	Passed	Remaining
0	16	16046
1	31	15630
2	47	15631
3	62	15535
4	77	15403
5	92	15366
6	107	15260
7	123	15295
8	138	15258
9	153	15204
10	169	15211
11	185	15289
12	201	15333
13	220	15564
14	238	15637
15	251	15479
16	267	15491
17	283	15459
18	301	15566
19	316	15520
20	332	15514
21	348	15512
22	364	15493
23	381	15534
24	397	15506
25	413	15485
26	433	15639
27	450	15627
28	466	15635
29	484	15657
30	500	15637
31	516	15632
32	533	15629
33	550	15650
34	567	15646
35	586	15713
36	603	15711
37	620	15718
38	642	15821
39	658	15815
40	674	15783
41	691	15782
42	707	15749
43	723	15722
44	739	15701
45	755	15661
46	772	15663
47	789	15666
48	806	15653
49	822	15633
50	846	15753
51	863	15747
52	880	15729
53	896	15703
54	917	15767
55	938	15815
56	960	15891
57	982	15956
58	1004	16023
59	1025	16060
60	1044	16079
61	1064	16110
62	1081	16080
63	1096	16038
64	1113	16016
65	1130	15995
66	1146	15965
67	1162	15938
68	1179	15909
69	1195	15883
70	1211	15856
71	1228	15829
72	1244	15807
73	1260	15772
74	1284	15842
75	1302	15836
76	1318	15807
77	1334	15779
78	1351	15752
79	1369	15753
80	1386	15730
81	1402	15697
82	1420	15689
83	1436	15663
84	1453	15644
85	1470	15630
86	1492	15666
87	1510	15650
88	1527	15633
89	1544	15621
90	1562	15607
91	1579	15589
92	1596	15570
93	1612	15546
94	1630	15533
95	1649	15534
96	1667	15519
97	1688	15536
98	1704	15512
99	1721	15495
100	1740	15489
101	1758	15482
102	1777	15479
103	1794	15463
104	1810	15433
105	1827	15411
106	1845	15405
107	1864	15396
108	1880	15372
109	1901	15388
110	1919	15375
111	1937	15357
112	1956	15355
113	1972	15333
114	1990	15318
115	2006	15293
116	2023	15273
117	2040	15252
118	2056	15223
119	2073	15204
120	2090	15183
121	2110	15192
122	2127	15167
123	2144	15152
124	2161	15133
125	2177	15102
126	2194	15083
127	2210	15060
128	2225	15029
129	2241	15001
130	2258	14980
131	2278	14983
132	2295	14962
133	2315	14967
134	2332	14946
135	2351	14937
136	2367	14915
137	2384	14893
138	2401	14875
139	2416	14845
140	2433	14822
141	2450	14808
142	2467	14784
143	2485	14773
144	2501	14751
145	2524	14768
146	2542	14753
147	2562	14751
148	2579	14734
149	2598	14723
150	2614	14702
151	2632	14684
152	2649	14665
153	2665	14645
154	2682	14626
155	2699	14602
156	2720	14607
157	2738	14594
158	2755	14574
159	2772	14555
160	2789	14536
161	2807	14520
162	2825	14509
163	2842	14488
164	2859	14471
165	2878	14463
166	2896	14446
167	2913	14426
168	2936	14438
169	2953	14419
170	2970	14401
171	2986	14377
172	3003	14355
173	3020	14336
174	3036	14315
175	3053	14294
176	3070	14276
177	3086	14254
178	3103	14233
179	3119	14211
180	3139	14207
181	3157	14191
182	3174	14172
183	3193	14161
184	3210	14142
185	3226	14122
186	3243	14099
187	3260	14083
188	3276	14060
189	3293	14039
190	3310	14023
191	3327	14003
192	3349	14004
193	3366	13986
194	3382	13963
195	3400	13947
196	3424	13958
197	3472	14066
198	3498	14083
199	3522	14091
200	3546	14098
201	3570	14103
202	3593	14109
203	3614	14104
204	3633	14089
205	3650	14072
206	3669	14058
207	3687	14040
208	3706	14026
209	3725	14014
210	3743	13996
211	3761	13980
212	3782	13974
213	3799	13955
214	3816	13936
215	3833	13915
216	3849	13890
217	3866	13870
218	3886	13859
219	3904	13843
220	3922	13827
221	3939	13805
222	3956	13787
223	3973	13766
224	3994	13757
225	4011	13736
226	4029	13720
227	4046	13700
228	4066	13689
229	4084	13672
230	4100	13651
231	4118	13633
232	4134	13611
233	4152	13592
234	4168	13570
235	4188	13559
236	4207	13544
237	4224	13526
238	4242	13508
239	4260	13490
240	4276	13469
241	4293	13449
242	4312	13434
243	4331	13419
244	4348	13399
245	4365	13380
246	4386	13373
247	4403	13353
248	4421	13336
249	4438	13314
250	4455	13295
251	4472	13276
252	4489	13255
253	4506	13236
254	4522	13213
255	4540	13196
256	4556	13173
257	4573	13154
258	4595	13147
259	4613	13130
260	4630	13109
261	4648	13093
262	4665	13072
263	4681	13051
264	4699	13033
265	4716	13015
266	4738	13007
267	4754	12986
268	4771	12965
269	4793	12959
270	4810	12941
271	4828	12922
272	4845	12902
273	4862	12883
274	4880	12865
275	4900	12855
276	4918	12837
277	4936	12819
278	4952	12798
279	4968	12776
280	4990	12768
281	5008	12751
282	5025	12732
283	5041	12709
284	5058	12690
285	5075	12670
286	5092	12652
287	5109	12632
288	5126	12612
289	5143	12593
290	5162	12576
291	5178	12555
292	5201	12550
293	5219	12532
294	5236	12513
295	5253	12494
296	5269	12473
297	5286	12452
298	5303	12434
299	5321	12417
300	5337	12395
301	5353	12373
302	5371	12355
303	5387	12333
304	5408	12324
305	5425	12305
306	5442	12284
307	5460	12269
308	5477	12249
309	5495	12231
310	5512	12212
311	5529	12192
312	5546	12173
313	5563	12155
314	5580	12136
315	5601	12124
316	5623	12116
317	5642	12100
318	5660	12084
319	5679	12069
320	5699	12055
321	5717	12038
322	5735	12020
323	5753	12005
324	5770	11984
325	5787	11965
326	5804	11945
327	5826	11937
328	5843	11916
329	5860	11898
330	5877	11880
331	5895	11862
332	5918	11855
333	5935	11835
334	5951	11814
335	5968	11795
336	5985	11774
337	6001	11754
338	6017	11733
339	6038	11722
340	6055	11703
341	6073	11685
342	6090	11665
343	6106	11645
344	6122	11624
345	6139	11604
346	6156	11585
347	6171	11563
348	6188	11543
349	6206	11527
350	6223	11506
351	6244	11495
352	6261	11477
353	6277	11456
354	6294	11437
355	6313	11420
356	6329	11399
357	6345	11379
358	6364	11364
359	6381	11345
360	6398	11325
361	6415	11306
362	6432	11288
363	6454	11277
364	6472	11259
365	6489	11241
366	6506	11221
367	6522	11202
368	6539	11183
369	6557	11165
370	6575	11148
371	6592	11129
372	6608	11109
373	6626	11090
374	6643	11072
375	6664	11060
376	6682	11043
377	6700	11025
378	6716	11005
379	6733	10986
380	6750	10967
381	6768	10949
382	6785	10930
383	6803	10913
384	6820	10894
385	6836	10874
386	6856	10861
387	6873	10842
388	6892	10826
389	6910	10808
390	6930	10794
391	6947	10775
392	6964	10756
393	6981	10737
394	6997	10717
395	7014	10698
396	7031	10680
397	7047	10660
398	7069	10648
399	7087	10630
400	7103	10611
401	7121	10593
402	7137	10573
403	7153	10553
404	7170	10534
405	7187	10515
406	7205	10498
407	7222	10479
408	7239	10460
409	7255	10440
410	7276	10428
411	7296	10413
412	7313	10394
413	7329	10374
414	7346	10356
415	7363	10337
416	7379	10317
417	7397	10299
418	7413	10280
419	7430	10261
420	7448	10244
421	7466	10226
422	7487	10212
423	7507	10198
424	7525	10181
425	7542	10163
426	7560	10146
427	7578	10128
428	7596	10111
429	7613	10092
430	7630	10073
431	7655	10065
432	7681	10058
433	7717	10064
434	7740	10053
435	7764	10043
436	7787	10032
437	7804	10014
438	7821	9995
439	7838	9976
440	7855	9957
441	7873	9940
442	7892	9923
443	7909	9904
444	7932	9892
445	7951	9876
446	7972	9862
447	7994	9849
448	8016	9837
449	8038	9824
450	8060	9811
451	8084	9801
452	8106	9788
453	8124	9771
454	8148	9759
455	8166	9742
456	8184	9724
457	8201	9705
458	8219	9687
459	8235	9667
460	8252	9648
461	8268	9628
462	8286	9610
463	8302	9591
464	8319	9571
465	8336	9553
466	8357	9538
467	8377	9522
468	8398	9509
469	8420	9495
470	8444	9483
471	8467	9471
472	8489	9459
473	8512	9445
474	8533	9431
475	8554	9417
476	8571	9397
477	8589	9379
478	8606	9360
479	8623	9341
480	8638	9321
481	8657	9303
482	8674	9285
483	8692	9266
484	8709	9248
485	8727	9229
486	8743	9210
487	8765	9197
488	8783	9178
489	8801	9160
490	8818	9141
491	8835	9122
492	8853	9104
493	8872	9087
494	8893	9073
495	8917	9061
496	8939	9047
497	8968	9040
498	8995	9031
499	9018	9018
500	9037	9001
501	9055	8983
502	9075	8967
503	9092	8948
504	9109	8929
505	9126	8910
506	9142	8890
507	9159	8870
508	9175	8850
509	9197	8836
510	9222	8825
511	9247	8813
512	9271	8801
513	9292	8786
514	9314	8771
515	9335	8756
516	9358	8743
517	9384	8732
518	9412	8723
519	9430	8705
520	9447	8686
521	9465	8667
522	9483	8649
523	9500	8630
524	9519	8612
525	9541	8598
526	9563	8583
527	9586	8569
528	9614	8560
529	9636	8545
530	9660	8532
531	9682	8517
532	9698	8497
533	9716	8478
534	9733	8460
535	9751	8441
536	9767	8421
537	9785	8402
538	9805	8386
539	9823	8368
540	9842	8350
541	9865	8336
542	9888	8322
543	9910	8307
544	9933	8293
545	9955	8278
546	9981	8266
547	10002	8250
548	10022	8233
549	10041	8215
550	10057	8195
551	10075	8177
552	10091	8157
553	10108	8138
554	10126	8119
555	10143	8100
556	10159	8080
557	10176	8060
558	10192	8041
559	10211	8023
560	10232	8007
561	10251	7989
562	10273	7974
563	10295	7959
564	10317	7943
565	10339	7927
566	10362	7913
567	10385	7898
568	10407	7883
569	10426	7865
570	10447	7849
571	10465	7830
572	10485	7814
573	10502	7794
574	10520	7776
575	10537	7756
576	10554	7737
577	10570	7717
578	10587	7698
579	10603	7678
580	10620	7659
581	10642	7643
582	10660	7625
583	10681	7608
584	10702	7592
